br-data-accession,br-data-model-protein-accession,br-data-product-name,br-data-family-type,br-data-gene-symbol,br-data-ec-number,br-data-go-terms,br-data-complete_ident,br-data-complete-wp-coverage,br-data-complete-br-coverage,br-data-hits-number,br-data-date
NBR000001,WP_011534324.1,beta-barrel pore-forming toxin monalysin,BlastRuleException,,,,94,90,90,4,2018-01-16
NBR000175,WP_001881365.1,glycine--lipid A transferase AlmG,BlastRuleEquivalog,almG,,,80,80,90,216,2021-10-18
NBR000178,WP_000245816.1,type III secretion system LEE needle protein cochaperone EscG,BlastRuleException,escG,,,94,90,90,40,2020-02-24
NBR000179,WP_001053840.1,type III secretion system LEE needle filament protein EscF,BlastRuleException,escF,,,94,90,90,30,2020-02-24
NBR000180,WP_000228583.1,LcrR family type III secretion system chaperone CesD2,BlastRuleException,cesD2,,,94,90,90,49,2020-03-03
NBR000181,"WP_001091991,WP_001092012,WP_001092000.1",type III secretion system LEE translocon pore-forming subunit EspB,BlastRuleException,espB,,,85,90,90,166,2024-03-12
NBR000182,"WP_000935759,WP_157140390.1",type III secretion system LEE translocon pore-forming subunit EspD,BlastRuleException,espD,,,94,90,90,29,2020-02-24
NBR000183,"WP_000381516,WP_000381567,WP_001570448,WP_012907107,WP_114272564,WP_114272565.1",type III secretion system LEE translocon filament protein EspA,BlastRuleException,espA,,,88,90,90,150,2018-07-25
NBR000184,"WP_001273445,WP_001273446.1",type III secretion system LEE gatekeeper SepL,BlastRuleException,sepL,,,94,90,90,266,2020-02-24
NBR000185,WP_000953255.1,type III secretion system LEE inner membrane ring protein EscD,BlastRuleException,escD,,,94,90,90,157,2020-02-24
NBR000186,"WP_000627885,WP_053880390,WP_096885339,WP_096879821,WP_107686096,WP_107686097.1",intimin type gamma,BlastRuleException,eae,,,92.5,90,90,113,2020-02-24
NBR000187,WP_000098793.1,type III secretion system LEE chaperone CesT,BlastRuleException,cesT,,,94,90,90,171,2020-02-24
NBR000189,WP_000492638.1,type III secretion system LEE effector Map (Rho guanine exchange factor),BlastRuleException,map,,,94,90,90,13,2020-02-24
NBR000190,WP_001003065.1,type III secretion system LEE chaperone CesF,BlastRuleException,cesF,,,94,90,90,30,2020-02-24
NBR000191,WP_001302249.1,type III secretion system LEE effector EspH,BlastRuleException,espH,,,94,90,90,11,2020-02-24
NBR000192,"WP_000803687,WP_000803678.1",type III secretion system LEE ring protein EscQ,BlastRuleException,escQ,,,94,90,90,74,2020-02-24
NBR000193,WP_001303723.1,type III secretion system LEE needle length regulator EscP,BlastRuleException,escP,,,94,90,90,98,2020-02-24
NBR000194,WP_001310358.1,type III secretion system LEE ATPase activity positive regulator EscO,BlastRuleException,escO,,,90,90,90,24,2022-12-30
NBR000195,WP_000622545.1,type III secretion system LEE ATPase EscN,BlastRuleException,escN,,,94,90,90,92,2020-02-24
NBR000196,WP_001037814.1,type III secretion system LEE export apparatus protein EscV,BlastRuleException,escV,,,94,90,90,133,2020-02-24
NBR000197,WP_001050992.1,type III secretion system LEE chaperone CesL,BlastRuleException,cesL,,,94,90,90,138,2020-02-24
NBR000198,WP_000386949.1,type III secretion system LEE cytoprotective effector EspZ,BlastRuleException,espZ,,,94,90,90,20,2020-02-24
NBR000199,WP_000382758.1,type III secretion system LEE inner rod protein EscI,BlastRuleException,escI,,,94,90,90,6,2020-02-24
NBR000200,WP_000716189.1,type III secretion system LEE inner membrane ring protein EscJ,BlastRuleException,escJ,,,94,90,90,68,2020-02-24
NBR000201,WP_001063681.1,type III secretion system LEE switch protein SepD,BlastRuleException,sepD,,,90,90,90,72,2022-12-30
NBR000202,WP_000723942.1,type III secretion system LEE outer membrane ring protein EscC,BlastRuleException,escC,,,94,90,90,184,2020-02-24
NBR000203,WP_000087467.1,SycD/LcrH family type III secretion system chaperone CesD,BlastRuleException,cesD,,,94,90,90,48,2020-03-03
NBR000204,WP_000444180.1,type III secretion system LEE transcriptional regulator GrlA,BlastRuleException,grlA,,,94,90,90,134,2023-07-19
NBR000205,WP_000605370.1,type III secretion system LEE GrlA-binding negative regulator GrlR,BlastRuleException,grlR,,,88,90,90,163,2023-07-19
NBR000206,WP_000720639.1,type III secretion system LEE muramidase EtgA,BlastRuleException,etgA,,,94,90,90,187,2020-02-24
NBR000207,WP_001291694.1,type III secretion system LEE export apparatus switch protein EscU,BlastRuleException,escU,,,94,90,90,198,2020-02-24
NBR000208,WP_001002833.1,type III secretion system LEE export apparatus protein EscT,BlastRuleException,escT,,,94,90,90,123,2020-02-24
NBR000209,WP_000379425.1,type III secretion system LEE export apparatus protein EscS,BlastRuleException,escS,,,94,90,90,23,2020-02-24
NBR000210,WP_010917865.1,type III secretion system LEE export apparatus protein EscR,BlastRuleException,escR,,,94,90,90,142,2020-02-24
NBR000211,WP_000639051.1,type III secretion system LEE stator protein EspL,BlastRuleException,espL,,,89,90,90,303,2022-12-30
NBR000212,WP_000029559.1,type III secretion system LEE chaperone CesAB,BlastRuleException,cesAB,,,94,90,90,50,2020-02-24
NBR000213,WP_000628730.1,YscE family type III secretion system co-chaperone EscE,BlastRuleException,escE,,,94,90,90,40,2020-03-03
NBR000214,WP_001310359.1,type III secretion system LEE master regulator Ler,BlastRuleException,ler,,,94,90,90,62,2023-12-03
NBR000215,WP_001411277.1,type III secretion system LEE effector EspG,BlastRuleException,espG,,,94,90,90,59,2020-09-09
NBR000216,"WP_054843451,WP_012185390,WP_066795061.1",intein-containing 30S ribosomal protein S12,BlastRuleException,,,,80,90,90,8,2020-05-20
NBR000217,WP_011310119.1,enterohemolysin EhxA,BlastRuleException,ehxA,,,92,90,90,284,2019-08-12
NBR000218,WP_088621905.1,2-hydroxy-1-naphthoic acid nonoxidative decarboxylase,BlastRuleEquivalog,hndA,,,80,80,90,182,2018-01-16
NBR000219,WP_014075111.1,5-carboxyvanillate decarboxylase,BlastRuleEquivalog,ligW,,,80,80,90,3,2019-01-16
NBR000220,"WP_011482990,WP_011594776,WP_080797724.1",gamma-resorcylate decarboxylase,BlastRuleEquivalog,tsdA,4.1.1.103,,80,80,90,326,2024-03-01
NBR000221,WP_010953449.1,4-oxalmesaconate hydratase,BlastRuleEquivalog,galB,4.2.1.83,,80,80,90,773,2020-02-24
NBR000223,WP_010886158.1,phthiocerol type I polyketide synthase PpsA,BlastRuleException,ppsA,,,94,90,90,414,2020-02-24
